rank,name,country_name,country_id,value
1,Carlos Alcaraz Garfia,Spain,ESP,10.24
2,Rafael Nadal,Spain,ESP,10.11
3,Diego Sebastian Schwartzman,Argentina,ARG,8.93
4,Alejandro Davidovich Fokina,Spain,ESP,8.71
5,Jaume Munar,Spain,ESP,8.70
6,Mikael Ymer,Sweden,SWE,8.67
7,Pedro Martinez Portero,Spain,ESP,8.58
8,Alex De Minaur,Australia,AUS,8.31
9,Francisco Cerundolo,Argentina,ARG,8.26
10,Taylor Harry Fritz,United States,USA,8.26
11,David Goffin,Belgium,BEL,8.18
12,Novak Djokovic,Serbia,SRB,7.90
13,Jannik Sinner,Italy,ITA,7.87
14,Casper Ruud,Norway,NOR,7.86
15,Christian Garin,Chile,CHI,7.85
16,Sebastian Korda,United States,USA,7.82
17,Cameron Norrie,United Kingdom,GBR,7.79
18,Joao Sousa,Portugal,POR,7.78
19,Federico Coria,Argentina,ARG,7.72
20,Aslan Karatsev,Russian Federation,RUS,7.69
21,Pablo Carreno Busta,Spain,ESP,7.65
22,Richard Gasquet,France,FRA,7.58
23,Sebastian Baez,Argentina,ARG,7.53
24,Daniil Medvedev,Russian Federation,RUS,7.49
25,Miomir Kecmanovic,Serbia,SRB,7.43
26,Roberto Bautista Agut,Spain,ESP,7.42
27,Andrey Rublev,Russian Federation,RUS,7.38
28,Marin Cilic,Croatia,CRO,7.36
29,Tommy Paul,United States,USA,7.35
30,Hugo Gaston,France,FRA,7.30
31,Alejandro Tabilo,Chile,CHI,7.17
32,Alex Molcan,Slovakia,SVK,7.12
33,Denis Shapovalov,Canada,CAN,7.06
34,Albert Ramos,Spain,ESP,7.03
35,Benoit Paire,France,FRA,6.96
36,Felix Auger Aliassime,Canada,CAN,6.91
37,Alexander Zverev,Germany,GER,6.91
38,Matteo Berrettini,Italy,ITA,6.88
39,Ilya Ivashka,Belarus,BLR,6.87
40,Daniel Evans,United Kingdom,GBR,6.87
41,Emil Ruusuvuori,Finland,FIN,6.84
42,Holger Vitus Nodskov Rune,Denmark,DEN,6.80
43,Tallon Griekspoor,Netherlands,NED,6.79
44,Jenson Brooksby,United States,USA,6.76
45,Jeffrey John Wolf,United States,USA,6.74
46,Frances Tiafoe,United States,USA,6.72
47,Dusan Lajovic,Serbia,SRB,6.68
48,Fabio Fognini,Italy,ITA,6.65
49,Soon Woo Kwon,"Korea, Republic of",KOR,6.64
50,Ugo Humbert,France,FRA,6.60
51,Lorenzo Sonego,Italy,ITA,6.51
52,Andy Murray,United Kingdom,GBR,6.50
52,Lorenzo Musetti,Italy,ITA,6.50
52,Mackenzie Mcdonald,United States,USA,6.50
55,Stefanos Tsitsipas,Greece,GRE,6.45
56,Grigor Dimitrov,Bulgaria,BUL,6.38
57,Adrian Mannarino,France,FRA,6.36
58,Botic Van De Zandschulp,Netherlands,NED,6.33
59,Jiri Lehecka,Czech Republic,CZE,6.30
60,Jack Draper,United Kingdom,GBR,6.25
61,Marton Fucsovics,Hungary,HUN,6.24
62,Laslo Djere,Serbia,SRB,6.22
63,Nick Kyrgios,Australia,AUS,6.21
64,Karen Khachanov,Russian Federation,RUS,6.15
65,Hubert Hurkacz,Poland,POL,5.98
66,Yoshihito Nishioka,Japan,JPN,5.93
67,Borna Coric,Croatia,CRO,5.81
68,Benjamin Bonzi,France,FRA,5.76
69,Stan Wawrinka,Switzerland,SUI,5.65
70,Taro Daniel,Japan,JPN,5.54
71,Alexander Bublik,Kazakhstan,KAZ,5.41
72,Marcos Giron,United States,USA,5.40
73,Thiago Monteiro,Brazil,BRA,5.30
74,Steve Johnson,United States,USA,5.22
75,Thanasi Kokkinakis,Australia,AUS,5.20
76,Filip Krajinovic,Serbia,SRB,5.19
77,Brandon Nakashima,United States,USA,5.16
78,Dominic Thiem,Austria,AUT,5.11
79,Roberto Carballes Baena,Spain,ESP,4.96
80,Arthur Rinderknech,France,FRA,4.82
81,Oscar Otte,Germany,GER,4.74
82,John Millman,Australia,AUS,4.38
83,Nikoloz Basilashvili,Georgia,GEO,4.34
84,Maxime Cressy,United States,USA,4.20
85,Reilly Opelka,United States,USA,4.11
86,John Isner,United States,USA,3.07
