rank,name,country_name,country_id,value
1,Milos Raonic,Canada,CAN,83.55%
2,Ivo Karlovic,Croatia,CRO,82.68%
3,John Isner,United States,USA,80.60%
4,Jo Wilfried Tsonga,France,FRA,79.97%
5,Reilly Opelka,United States,USA,79.79%
6,Sam Querrey,United States,USA,79.74%
7,Jan Lennard Struff,Germany,GER,79.24%
8,Christopher Eubanks,United States,USA,79.13%
9,Nick Kyrgios,Australia,AUS,78.82%
10,Kevin Anderson,South Africa,RSA,78.24%
11,Roger Federer,Switzerland,SUI,77.99%
12,Matteo Berrettini,Italy,ITA,77.98%
13,Vasek Pospisil,Canada,CAN,77.71%
14,Benoit Paire,France,FRA,77.29%
15,Feliciano Lopez,Spain,ESP,77.18%
16,Marin Cilic,Croatia,CRO,76.88%
17,Stefano Travaglia,Italy,ITA,76.62%
18,Juan Martin Del Potro,Argentina,ARG,76.48%
19,Stan Wawrinka,Switzerland,SUI,76.47%
20,Tomas Berdych,Czech Republic,CZE,76.24%
21,Rafael Nadal,Spain,ESP,76.16%
22,Stefanos Tsitsipas,Greece,GRE,75.94%
23,Denis Shapovalov,Canada,CAN,75.87%
24,Taylor Harry Fritz,United States,USA,75.83%
25,Novak Djokovic,Serbia,SRB,75.50%
26,Lorenzo Sonego,Italy,ITA,75.00%
27,Andy Murray,United Kingdom,GBR,74.93%
28,Leonardo Mayer,Argentina,ARG,74.89%
29,Alex De Minaur,Australia,AUS,74.82%
30,Alexander Bublik,Kazakhstan,KAZ,74.73%
31,Daniil Medvedev,Russian Federation,RUS,74.69%
32,Grigor Dimitrov,Bulgaria,BUL,74.54%
33,Jeremy Chardy,France,FRA,74.50%
34,Alexander Zverev,Germany,GER,74.14%
35,Andrey Rublev,Russian Federation,RUS,74.11%
36,Yasutaka Uchiyama,Japan,JPN,73.86%
37,Robin Haase,Netherlands,NED,73.42%
38,Felix Auger Aliassime,Canada,CAN,73.42%
39,Steve Johnson,United States,USA,73.41%
40,Kamil Majchrzak,Poland,POL,73.39%
41,Borna Coric,Croatia,CRO,73.35%
42,Egor Gerasimov,Belarus,BLR,73.34%
43,Tennys Sandgren,United States,USA,73.31%
44,Aljaz Bedene,Slovenia,SLO,73.23%
45,Hubert Hurkacz,Poland,POL,73.18%
46,Jiri Vesely,Czech Republic,CZE,73.14%
47,Marcel Granollers,Spain,ESP,73.12%
48,Denis Istomin,Uzbekistan,UZB,73.10%
49,Lucas Pouille,France,FRA,72.97%
50,Marius Copil,Romania,ROU,72.90%
51,Ernests Gulbis,Latvia,LAT,72.80%
52,Alexei Popyrin,Australia,AUS,72.79%
53,Dominic Thiem,Austria,AUT,72.73%
54,Matthew Ebden,Australia,AUS,72.56%
55,Karen Khachanov,Russian Federation,RUS,72.46%
56,Ugo Humbert,France,FRA,72.40%
57,Maximilian Marterer,Germany,GER,72.39%
58,Evgeny Donskoy,Russian Federation,RUS,72.32%
59,Nicolas Mahut,France,FRA,72.31%
60,David Goffin,Belgium,BEL,72.31%
61,Richard Gasquet,France,FRA,72.22%
62,Brayden Schnur,Canada,CAN,72.19%
63,Paolo Lorenzi,Italy,ITA,72.18%
64,Lloyd George Muirhead Harris,South Africa,RSA,72.09%
65,Dominik Koepfer,Germany,GER,72.04%
66,Roberto Bautista Agut,Spain,ESP,71.94%
67,Pablo Cuevas,Uruguay,URU,71.71%
