rank,name,country_name,country_id,value
1,Rafael Nadal,Spain,ESP,57.48%
2,Daniil Medvedev,Russian Federation,RUS,55.75%
3,Novak Djokovic,Serbia,SRB,55.36%
4,Roberto Bautista Agut,Spain,ESP,53.62%
5,Diego Sebastian Schwartzman,Argentina,ARG,53.44%
6,Kei Nishikori,Japan,JPN,53.25%
7,Roger Federer,Switzerland,SUI,53.24%
8,David Ferrer,Spain,ESP,53.04%
9,Yoshihito Nishioka,Japan,JPN,52.82%
10,Dominic Thiem,Austria,AUT,52.79%
11,John Millman,Australia,AUS,52.65%
12,Milos Raonic,Canada,CAN,52.53%
13,Alex De Minaur,Australia,AUS,52.53%
14,Pablo Carreno Busta,Spain,ESP,52.42%
15,Miomir Kecmanovic,Serbia,SRB,52.31%
16,Andrey Rublev,Russian Federation,RUS,52.15%
17,Federico Delbonis,Argentina,ARG,52.04%
18,Nikoloz Basilashvili,Georgia,GEO,52.03%
19,Gilles Simon,France,FRA,52.02%
20,Kevin Anderson,South Africa,RSA,51.69%
21,Radu Albot,"Moldova, Republic of",MDA,51.63%
22,Philipp Kohlschreiber,Germany,GER,51.56%
23,Nicolas Mahut,France,FRA,51.52%
24,Leonardo Mayer,Argentina,ARG,51.46%
25,Guido Pella,Argentina,ARG,51.42%
26,Gael Monfils,France,FRA,51.25%
27,Egor Gerasimov,Belarus,BLR,51.21%
28,Stefano Travaglia,Italy,ITA,51.11%
29,Albert Ramos,Spain,ESP,50.96%
30,Juan Ignacio Londero,Argentina,ARG,50.86%
31,Antonie Hoang,France,FRA,50.86%
32,David Goffin,Belgium,BEL,50.84%
33,Fabio Fognini,Italy,ITA,50.72%
34,Andy Murray,United Kingdom,GBR,50.63%
35,Gregoire Barrere,France,FRA,50.52%
36,Stan Wawrinka,Switzerland,SUI,50.51%
37,Ricardas Berankis,Lithuania,LTU,50.35%
38,Cameron Norrie,United Kingdom,GBR,50.32%
39,Andreas Seppi,Italy,ITA,50.31%
40,Thomas Fabbiano,Italy,ITA,50.31%
41,Filip Krajinovic,Serbia,SRB,50.29%
42,Grigor Dimitrov,Bulgaria,BUL,50.27%
43,Fernando Verdasco,Spain,ESP,50.26%
44,Adrian Mannarino,France,FRA,50.26%
45,Pablo Cuevas,Uruguay,URU,50.24%
46,Dennis Novak,Austria,AUT,50.21%
47,Denis Shapovalov,Canada,CAN,50.20%
48,Alexander Zverev,Germany,GER,50.12%
49,Ilya Ivashka,Belarus,BLR,50.10%
50,Jan Lennard Struff,Germany,GER,50.07%
51,Mikhail Kukushkin,Kazakhstan,KAZ,50.02%
52,Soon Woo Kwon,"Korea, Republic of",KOR,50.00%
53,Casper Ruud,Norway,NOR,49.97%
54,Kamil Majchrzak,Poland,POL,49.82%
55,Karen Khachanov,Russian Federation,RUS,49.81%
56,Frances Tiafoe,United States,USA,49.77%
57,Cedrik Marcel Stebe,Germany,GER,49.76%
58,Kyle Edmund,United Kingdom,GBR,49.59%
