rank,name,country_name,country_id,value
1,John Isner,United States,USA,7.388
2,Reilly Opelka,United States,USA,6.789
3,Alexander Bublik,Kazakhstan,KAZ,5.277
4,Lloyd George Muirhead Harris,South Africa,RSA,4.344
5,Matteo Berrettini,Italy,ITA,4.231
6,Marin Cilic,Croatia,CRO,4.152
7,Hubert Hurkacz,Poland,POL,3.920
8,Alexander Zverev,Germany,GER,3.829
9,Arthur Rinderknech,France,FRA,3.813
10,Alexei Popyrin,Australia,AUS,3.606
11,Benoit Paire,France,FRA,3.595
12,Feliciano Lopez,Spain,ESP,3.588
13,Felix Auger Aliassime,Canada,CAN,3.552
14,Taylor Harry Fritz,United States,USA,3.546
15,Jan Lennard Struff,Germany,GER,3.524
16,Daniil Medvedev,Russian Federation,RUS,3.520
17,Gael Monfils,France,FRA,3.365
18,Pierre Hugues Herbert,France,FRA,3.298
19,Andy Murray,United Kingdom,GBR,3.226
20,Aljaz Bedene,Slovenia,SLO,3.150
21,Ugo Humbert,France,FRA,3.125
22,Denis Shapovalov,Canada,CAN,3.065
23,Ilya Ivashka,Belarus,BLR,2.913
24,Andrey Rublev,Russian Federation,RUS,2.855
25,Frances Tiafoe,United States,USA,2.777
26,James Duckworth,Australia,AUS,2.763
27,Jordan Thompson,Australia,AUS,2.595
28,Stefanos Tsitsipas,Greece,GRE,2.541
29,Novak Djokovic,Serbia,SRB,2.490
30,Mackenzie Mcdonald,United States,USA,2.470
31,Karen Khachanov,Russian Federation,RUS,2.454
32,Egor Gerasimov,Belarus,BLR,2.365
33,Stefano Travaglia,Italy,ITA,2.328
34,Gianluca Mager,Italy,ITA,2.317
35,Jeremy Chardy,France,FRA,2.264
36,Lorenzo Sonego,Italy,ITA,2.217
37,David Goffin,Belgium,BEL,2.143
38,Sebastian Korda,United States,USA,2.105
39,Laslo Djere,Serbia,SRB,2.031
40,Marcos Giron,United States,USA,2.011
41,Casper Ruud,Norway,NOR,1.977
42,Cameron Norrie,United Kingdom,GBR,1.968
43,Botic Van De Zandschulp,Netherlands,NED,1.966
44,Grigor Dimitrov,Bulgaria,BUL,1.933
45,Guido Pella,Argentina,ARG,1.925
46,Soon Woo Kwon,"Korea, Republic of",KOR,1.865
47,Aslan Karatsev,Russian Federation,RUS,1.812
48,Jannik Sinner,Italy,ITA,1.784
49,Marco Cecchinato,Italy,ITA,1.750
50,Tommy Paul,United States,USA,1.722
51,Nikoloz Basilashvili,Georgia,GEO,1.718
52,Dominik Koepfer,Germany,GER,1.625
53,Emil Ruusuvuori,Finland,FIN,1.586
54,Adrian Mannarino,France,FRA,1.574
55,Marton Fucsovics,Hungary,HUN,1.563
56,Pablo Carreno Busta,Spain,ESP,1.553
57,Filip Krajinovic,Serbia,SRB,1.533
58,Miomir Kecmanovic,Serbia,SRB,1.519
59,Daniel Evans,United Kingdom,GBR,1.463
60,Rafael Nadal,Spain,ESP,1.414
61,Roberto Bautista Agut,Spain,ESP,1.276
62,Alex De Minaur,Australia,AUS,1.202
63,Dusan Lajovic,Serbia,SRB,1.179
64,Federico Delbonis,Argentina,ARG,1.157
65,Carlos Alcaraz Garfia,Spain,ESP,1.122
66,Fabio Fognini,Italy,ITA,1.105
67,Roberto Carballes Baena,Spain,ESP,1.098
68,Pedro Martinez Portero,Spain,ESP,1.093
69,Jaume Munar,Spain,ESP,1.077
70,Christian Garin,Chile,CHI,1.051
71,Albert Ramos,Spain,ESP,1.041
72,John Millman,Australia,AUS,1.039
73,Lorenzo Musetti,Italy,ITA,1.013
74,Kei Nishikori,Japan,JPN,0.832
75,Corentin Moutet,France,FRA,0.810
76,Alejandro Davidovich Fokina,Spain,ESP,0.802
77,Mikael Ymer,Sweden,SWE,0.723
78,Pablo Andujar,Spain,ESP,0.692
79,Diego Sebastian Schwartzman,Argentina,ARG,0.624
80,Yoshihito Nishioka,Japan,JPN,0.569
