rank,name,country_name,country_id,value
1,Novak Djokovic,Serbia,SRB,2.920
2,Roberto Bautista Agut,Spain,ESP,2.804
3,Gael Monfils,France,FRA,2.801
4,Diego Sebastian Schwartzman,Argentina,ARG,2.783
5,Alex De Minaur,Australia,AUS,2.751
6,Rafael Nadal,Spain,ESP,2.707
7,Alejandro Davidovich Fokina,Spain,ESP,2.690
8,Filip Krajinovic,Serbia,SRB,2.667
9,Jannik Sinner,Italy,ITA,2.665
10,Marton Fucsovics,Hungary,HUN,2.638
11,Andrey Rublev,Russian Federation,RUS,2.626
12,Daniil Medvedev,Russian Federation,RUS,2.624
13,David Goffin,Belgium,BEL,2.601
14,Emil Ruusuvuori,Finland,FIN,2.592
15,Dominik Koepfer,Germany,GER,2.589
16,Alexander Zverev,Germany,GER,2.584
17,Andrej Martin,Slovakia,SVK,2.577
18,Norbert Gombos,Slovakia,SVK,2.574
19,Grigor Dimitrov,Bulgaria,BUL,2.551
20,Gilles Simon,France,FRA,2.536
21,Pedro Martinez Portero,Spain,ESP,2.526
22,Kyle Edmund,United Kingdom,GBR,2.515
23,Federico Coria,Argentina,ARG,2.504
24,Albert Ramos,Spain,ESP,2.489
25,Roger Federer,Switzerland,SUI,2.472
26,Pablo Andujar,Spain,ESP,2.470
27,Marc Polmans,Australia,AUS,2.464
28,Yoshihito Nishioka,Japan,JPN,2.464
29,Federico Delbonis,Argentina,ARG,2.453
30,Jaume Munar,Spain,ESP,2.450
31,Christian Garin,Chile,CHI,2.443
32,Karen Khachanov,Russian Federation,RUS,2.438
33,John Millman,Australia,AUS,2.437
34,Dusan Lajovic,Serbia,SRB,2.427
35,Mikhail Kukushkin,Kazakhstan,KAZ,2.422
36,Dominic Thiem,Austria,AUT,2.416
37,Casper Ruud,Norway,NOR,2.412
38,Denis Shapovalov,Canada,CAN,2.398
39,Stefanos Tsitsipas,Greece,GRE,2.395
40,Laslo Djere,Serbia,SRB,2.392
41,Jan Lennard Struff,Germany,GER,2.391
42,Miomir Kecmanovic,Serbia,SRB,2.391
43,Radu Albot,"Moldova, Republic of",MDA,2.390
44,Daniel Evans,United Kingdom,GBR,2.389
45,Fernando Verdasco,Spain,ESP,2.387
46,Marco Cecchinato,Italy,ITA,2.384
47,Adrian Mannarino,France,FRA,2.383
48,Roberto Carballes Baena,Spain,ESP,2.380
49,Benoit Paire,France,FRA,2.370
50,Frances Tiafoe,United States,USA,2.366
51,Tommy Paul,United States,USA,2.356
52,Cameron Norrie,United Kingdom,GBR,2.343
53,Pierre Hugues Herbert,France,FRA,2.336
54,Juan Ignacio Londero,Argentina,ARG,2.333
55,Mackenzie Mcdonald,United States,USA,2.328
56,Mikael Ymer,Sweden,SWE,2.326
57,Marin Cilic,Croatia,CRO,2.315
58,Pablo Carreno Busta,Spain,ESP,2.292
59,Guido Pella,Argentina,ARG,2.288
60,Corentin Moutet,France,FRA,2.281
61,Hubert Hurkacz,Poland,POL,2.271
62,Felix Auger Aliassime,Canada,CAN,2.269
63,Borna Coric,Croatia,CRO,2.269
64,Matteo Berrettini,Italy,ITA,2.263
65,Jordan Thompson,Australia,AUS,2.243
66,Stan Wawrinka,Switzerland,SUI,2.223
67,Fabio Fognini,Italy,ITA,2.223
68,Nikoloz Basilashvili,Georgia,GEO,2.217
69,Ricardas Berankis,Lithuania,LTU,2.216
70,Alexander Bublik,Kazakhstan,KAZ,2.210
71,Ugo Humbert,France,FRA,2.199
72,Jiri Vesely,Czech Republic,CZE,2.195
73,Lloyd George Muirhead Harris,South Africa,RSA,2.187
74,Vasek Pospisil,Canada,CAN,2.181
75,Taylor Harry Fritz,United States,USA,2.176
76,Dennis Novak,Austria,AUT,2.171
77,Andreas Seppi,Italy,ITA,2.150
78,Salvatore Caruso,Italy,ITA,2.137
79,Gianluca Mager,Italy,ITA,2.133
79,Soon Woo Kwon,"Korea, Republic of",KOR,2.133
81,Thiago Monteiro,Brazil,BRA,2.130
82,Tennys Sandgren,United States,USA,2.122
83,Milos Raonic,Canada,CAN,2.112
84,Lorenzo Sonego,Italy,ITA,2.096
85,Richard Gasquet,France,FRA,2.090
86,Kevin Anderson,South Africa,RSA,2.085
87,Egor Gerasimov,Belarus,BLR,2.080
88,Pablo Cuevas,Uruguay,URU,2.061
89,Aljaz Bedene,Slovenia,SLO,2.058
90,Stefano Travaglia,Italy,ITA,2.056
91,Gregoire Barrere,France,FRA,1.971
92,Andy Murray,United Kingdom,GBR,1.920
93,Steve Johnson,United States,USA,1.920
94,Sam Querrey,United States,USA,1.912
95,Feliciano Lopez,Spain,ESP,1.884
96,Marcos Giron,United States,USA,1.874
97,Nick Kyrgios,Australia,AUS,1.824
98,Leonardo Mayer,Argentina,ARG,1.673
99,James Duckworth,Australia,AUS,1.642
100,Reilly Opelka,United States,USA,1.609
101,John Isner,United States,USA,1.558
