rank,name,country_name,country_id,value
1,Roberto Bautista Agut,Spain,ESP,10.43
2,Marton Fucsovics,Hungary,HUN,9.95
3,Denis Shapovalov,Canada,CAN,9.17
4,Dominic Thiem,Austria,AUT,9.08
5,Alexander Zverev,Germany,GER,9.03
6,Diego Sebastian Schwartzman,Argentina,ARG,9.03
7,Novak Djokovic,Serbia,SRB,8.93
8,David Goffin,Belgium,BEL,8.90
9,Pablo Carreno Busta,Spain,ESP,8.50
10,John Millman,Australia,AUS,8.42
11,Gilles Simon,France,FRA,8.10
12,Alex De Minaur,Australia,AUS,8.10
13,Rafael Nadal,Spain,ESP,8.09
14,Daniil Medvedev,Russian Federation,RUS,8.03
15,Benoit Paire,France,FRA,8.00
16,Christian Garin,Chile,CHI,7.77
17,Grigor Dimitrov,Bulgaria,BUL,7.76
18,Andrey Rublev,Russian Federation,RUS,7.67
19,Daniel Evans,United Kingdom,GBR,7.57
20,Jan Lennard Struff,Germany,GER,7.55
21,Yoshihito Nishioka,Japan,JPN,7.52
22,Casper Ruud,Norway,NOR,7.50
22,Jannik Sinner,Italy,ITA,7.50
24,Dusan Lajovic,Serbia,SRB,7.24
25,Tommy Paul,United States,USA,7.23
26,Adrian Mannarino,France,FRA,7.20
27,Filip Krajinovic,Serbia,SRB,7.18
28,Hubert Hurkacz,Poland,POL,7.13
29,Jordan Thompson,Australia,AUS,7.09
30,Stefanos Tsitsipas,Greece,GRE,6.95
31,Taylor Harry Fritz,United States,USA,6.88
32,Karen Khachanov,Russian Federation,RUS,6.80
33,Alexander Bublik,Kazakhstan,KAZ,6.58
34,Ugo Humbert,France,FRA,6.57
35,Borna Coric,Croatia,CRO,6.40
36,Felix Auger Aliassime,Canada,CAN,6.33
37,Miomir Kecmanovic,Serbia,SRB,6.20
38,Vasek Pospisil,Canada,CAN,6.04
39,Lloyd George Muirhead Harris,South Africa,RSA,6.00
40,Milos Raonic,Canada,CAN,5.50
41,Lorenzo Sonego,Italy,ITA,4.82
