rank,name,country_name,country_id,value
1,Stefanos Tsitsipas,Greece,GRE,58.12%
2,Rafael Nadal,Spain,ESP,57.29%
3,Matteo Berrettini,Italy,ITA,57.07%
4,John Isner,United States,USA,55.83%
5,Casper Ruud,Norway,NOR,55.74%
6,Roberto Bautista Agut,Spain,ESP,55.15%
7,Thiago Monteiro,Brazil,BRA,54.45%
8,Milos Raonic,Canada,CAN,54.42%
9,Yoshihito Nishioka,Japan,JPN,53.83%
10,Daniil Medvedev,Russian Federation,RUS,53.81%
11,Andrey Rublev,Russian Federation,RUS,53.56%
12,Gianluca Mager,Italy,ITA,53.47%
13,Andreas Seppi,Italy,ITA,53.14%
14,Nick Kyrgios,Australia,AUS,53.11%
15,Roger Federer,Switzerland,SUI,53.02%
16,Philipp Kohlschreiber,Germany,GER,53.01%
17,Sebastian Korda,United States,USA,52.87%
18,Stan Wawrinka,Switzerland,SUI,52.80%
19,Leonardo Mayer,Argentina,ARG,52.61%
20,Yannick Hanfmann,Germany,GER,52.58%
21,Mikhail Kukushkin,Kazakhstan,KAZ,52.43%
22,Fabio Fognini,Italy,ITA,52.42%
23,Novak Djokovic,Serbia,SRB,52.39%
24,John Millman,Australia,AUS,52.24%
25,Dennis Novak,Austria,AUT,52.24%
26,Albert Ramos,Spain,ESP,52.09%
27,Ugo Humbert,France,FRA,52.04%
28,Andrej Martin,Slovakia,SVK,51.95%
29,Soon Woo Kwon,"Korea, Republic of",KOR,51.87%
30,Pablo Carreno Busta,Spain,ESP,51.79%
31,Juan Ignacio Londero,Argentina,ARG,51.76%
32,Dusan Lajovic,Serbia,SRB,51.13%
33,Tennys Sandgren,United States,USA,51.12%
34,Jiri Vesely,Czech Republic,CZE,50.97%
35,Marin Cilic,Croatia,CRO,50.92%
36,Alexei Popyrin,Australia,AUS,50.91%
37,Tommy Paul,United States,USA,50.70%
38,Borna Coric,Croatia,CRO,50.60%
39,Daniel Evans,United Kingdom,GBR,50.50%
40,Andy Murray,United Kingdom,GBR,50.47%
41,Miomir Kecmanovic,Serbia,SRB,50.46%
42,Laslo Djere,Serbia,SRB,50.46%
43,Egor Gerasimov,Belarus,BLR,50.46%
44,Kyle Edmund,United Kingdom,GBR,50.39%
45,Hugo Gaston,France,FRA,50.38%
46,Marco Cecchinato,Italy,ITA,50.28%
47,Jack Sock,United States,USA,50.21%
48,Alex De Minaur,Australia,AUS,50.14%
49,Adrian Mannarino,France,FRA,49.89%
50,Steve Johnson,United States,USA,49.89%
51,Ricardas Berankis,Lithuania,LTU,49.86%
52,Vasek Pospisil,Canada,CAN,49.86%
53,Diego Sebastian Schwartzman,Argentina,ARG,49.82%
54,Dominic Thiem,Austria,AUT,49.70%
55,Karen Khachanov,Russian Federation,RUS,49.69%
56,Guido Pella,Argentina,ARG,49.66%
57,Emil Ruusuvuori,Finland,FIN,49.65%
58,Taylor Harry Fritz,United States,USA,49.62%
59,Sam Querrey,United States,USA,49.59%
60,Reilly Opelka,United States,USA,49.51%
61,Jan Lennard Struff,Germany,GER,49.39%
62,Frances Tiafoe,United States,USA,49.39%
63,Salvatore Caruso,Italy,ITA,49.34%
64,Filip Krajinovic,Serbia,SRB,49.33%
65,Mackenzie Mcdonald,United States,USA,49.29%
66,Jordan Thompson,Australia,AUS,49.14%
67,Felix Auger Aliassime,Canada,CAN,49.10%
68,Jannik Sinner,Italy,ITA,49.08%
69,Norbert Gombos,Slovakia,SVK,49.06%
70,Corentin Moutet,France,FRA,48.94%
71,James Duckworth,Australia,AUS,48.91%
72,Grigor Dimitrov,Bulgaria,BUL,48.83%
73,Cameron Norrie,United Kingdom,GBR,48.71%
74,Roberto Carballes Baena,Spain,ESP,48.69%
75,Radu Albot,"Moldova, Republic of",MDA,48.53%
76,Richard Gasquet,France,FRA,48.53%
77,Denis Shapovalov,Canada,CAN,48.50%
78,Thiago Seyboth Wild,Brazil,BRA,48.46%
79,Marton Fucsovics,Hungary,HUN,48.30%
80,Pierre Hugues Herbert,France,FRA,48.27%
81,Feliciano Lopez,Spain,ESP,48.21%
82,Gregoire Barrere,France,FRA,48.04%
83,Lorenzo Sonego,Italy,ITA,47.94%
84,Kevin Anderson,South Africa,RSA,47.89%
85,Gilles Simon,France,FRA,47.71%
86,Federico Coria,Argentina,ARG,47.46%
87,Christian Garin,Chile,CHI,47.44%
88,Marc Polmans,Australia,AUS,47.39%
89,Aljaz Bedene,Slovenia,SLO,47.37%
90,Attila Balazs,Hungary,HUN,47.17%
91,Pablo Andujar,Spain,ESP,46.86%
92,Pablo Cuevas,Uruguay,URU,46.76%
93,Alejandro Davidovich Fokina,Spain,ESP,46.46%
94,Dominik Koepfer,Germany,GER,46.29%
95,Lloyd George Muirhead Harris,South Africa,RSA,46.02%
96,Gael Monfils,France,FRA,46.02%
97,Fernando Verdasco,Spain,ESP,46.00%
98,Federico Delbonis,Argentina,ARG,45.92%
99,Jaume Munar,Spain,ESP,45.91%
100,Hubert Hurkacz,Poland,POL,45.82%
101,David Goffin,Belgium,BEL,45.68%
102,Michael Mmoh,United States,USA,45.40%
103,Mikael Ymer,Sweden,SWE,45.31%
104,Marcos Giron,United States,USA,45.12%
105,Alexander Zverev,Germany,GER,45.05%
106,Alexander Bublik,Kazakhstan,KAZ,44.94%
107,Stefano Travaglia,Italy,ITA,44.78%
108,Damir Dzumhur,Bosnia and Herzegovina,BIH,44.44%
109,Yuichi Sugita,Japan,JPN,43.07%
110,Pedro Martinez Portero,Spain,ESP,43.04%
111,Nikoloz Basilashvili,Georgia,GEO,42.99%
112,Benoit Paire,France,FRA,42.39%
