rank,name,country_name,country_id,value
1,Roberto Bautista Agut,Spain,ESP,44.05%
2,Rafael Nadal,Spain,ESP,43.53%
3,Diego Sebastian Schwartzman,Argentina,ARG,43.45%
4,Novak Djokovic,Serbia,SRB,43.39%
5,Filip Krajinovic,Serbia,SRB,42.63%
6,Pedro Martinez Portero,Spain,ESP,42.44%
7,Andrey Rublev,Russian Federation,RUS,41.69%
8,Alejandro Davidovich Fokina,Spain,ESP,41.63%
9,Gilles Simon,France,FRA,41.34%
10,David Goffin,Belgium,BEL,40.87%
11,Gael Monfils,France,FRA,40.84%
12,Roger Federer,Switzerland,SUI,40.63%
13,Jannik Sinner,Italy,ITA,40.62%
14,Daniil Medvedev,Russian Federation,RUS,40.51%
15,Hugo Gaston,France,FRA,40.47%
16,Yannick Hanfmann,Germany,GER,40.45%
17,Yoshihito Nishioka,Japan,JPN,40.32%
18,Grigor Dimitrov,Bulgaria,BUL,39.63%
19,Marton Fucsovics,Hungary,HUN,39.62%
20,Norbert Gombos,Slovakia,SVK,39.56%
21,Dominik Koepfer,Germany,GER,39.53%
22,Kyle Edmund,United Kingdom,GBR,39.38%
23,Alex De Minaur,Australia,AUS,39.36%
24,Marc Polmans,Australia,AUS,39.21%
25,Mikael Ymer,Sweden,SWE,39.16%
26,Alexander Zverev,Germany,GER,39.15%
27,Emil Ruusuvuori,Finland,FIN,38.98%
28,Mikhail Kukushkin,Kazakhstan,KAZ,38.98%
29,Dominic Thiem,Austria,AUT,38.81%
30,Daniel Evans,United Kingdom,GBR,38.54%
31,Karen Khachanov,Russian Federation,RUS,38.50%
32,Frances Tiafoe,United States,USA,38.49%
33,Casper Ruud,Norway,NOR,38.41%
34,Fabio Fognini,Italy,ITA,38.36%
35,Kei Nishikori,Japan,JPN,38.11%
36,John Millman,Australia,AUS,38.08%
37,Jack Sock,United States,USA,38.07%
38,Laslo Djere,Serbia,SRB,38.05%
39,Marin Cilic,Croatia,CRO,37.93%
40,Andrej Martin,Slovakia,SVK,37.91%
41,Pablo Andujar,Spain,ESP,37.88%
42,Christian Garin,Chile,CHI,37.88%
43,Radu Albot,"Moldova, Republic of",MDA,37.73%
44,Jan Lennard Struff,Germany,GER,37.73%
45,Cameron Norrie,United Kingdom,GBR,37.70%
46,Thiago Seyboth Wild,Brazil,BRA,37.65%
47,Pablo Carreno Busta,Spain,ESP,37.51%
48,Soon Woo Kwon,"Korea, Republic of",KOR,37.43%
49,Roberto Carballes Baena,Spain,ESP,37.29%
50,Attila Balazs,Hungary,HUN,37.25%
51,Miomir Kecmanovic,Serbia,SRB,37.25%
52,Mackenzie Mcdonald,United States,USA,37.25%
53,Benoit Paire,France,FRA,37.21%
54,Stefanos Tsitsipas,Greece,GRE,37.14%
55,Borna Coric,Croatia,CRO,37.13%
56,Adrian Mannarino,France,FRA,37.05%
57,Dusan Lajovic,Serbia,SRB,37.05%
58,Corentin Moutet,France,FRA,37.04%
59,Tommy Paul,United States,USA,36.91%
60,Federico Coria,Argentina,ARG,36.85%
61,Juan Ignacio Londero,Argentina,ARG,36.81%
62,Ricardas Berankis,Lithuania,LTU,36.64%
63,Guido Pella,Argentina,ARG,36.60%
64,Albert Ramos,Spain,ESP,36.60%
65,Pierre Hugues Herbert,France,FRA,36.53%
66,Jaume Munar,Spain,ESP,36.34%
67,Nikoloz Basilashvili,Georgia,GEO,36.34%
68,Federico Delbonis,Argentina,ARG,36.10%
69,Stan Wawrinka,Switzerland,SUI,36.04%
70,Denis Shapovalov,Canada,CAN,35.89%
71,Ugo Humbert,France,FRA,35.83%
72,Richard Gasquet,France,FRA,35.83%
73,Dennis Novak,Austria,AUT,35.72%
74,Marco Cecchinato,Italy,ITA,35.72%
75,Michael Mmoh,United States,USA,35.61%
76,Andreas Seppi,Italy,ITA,35.57%
77,Hubert Hurkacz,Poland,POL,35.57%
78,Jordan Thompson,Australia,AUS,35.55%
79,Vasek Pospisil,Canada,CAN,35.24%
80,Salvatore Caruso,Italy,ITA,35.21%
81,Taylor Harry Fritz,United States,USA,35.03%
82,Damir Dzumhur,Bosnia and Herzegovina,BIH,35.02%
83,Lloyd George Muirhead Harris,South Africa,RSA,35.00%
84,Matteo Berrettini,Italy,ITA,35.00%
85,Fernando Verdasco,Spain,ESP,34.71%
86,Felix Auger Aliassime,Canada,CAN,34.68%
87,Pablo Cuevas,Uruguay,URU,34.25%
88,Alexander Bublik,Kazakhstan,KAZ,34.09%
89,Thiago Monteiro,Brazil,BRA,33.97%
90,Egor Gerasimov,Belarus,BLR,33.92%
91,Jiri Vesely,Czech Republic,CZE,33.83%
92,Aljaz Bedene,Slovenia,SLO,33.61%
93,Stefano Travaglia,Italy,ITA,33.56%
94,Milos Raonic,Canada,CAN,33.42%
95,Kevin Anderson,South Africa,RSA,33.41%
96,Gianluca Mager,Italy,ITA,33.39%
97,Alexei Popyrin,Australia,AUS,33.33%
98,Andy Murray,United Kingdom,GBR,33.27%
99,Steve Johnson,United States,USA,33.25%
100,Sam Querrey,United States,USA,33.10%
101,Lorenzo Sonego,Italy,ITA,33.08%
102,Tennys Sandgren,United States,USA,32.46%
103,Feliciano Lopez,Spain,ESP,32.05%
104,Gregoire Barrere,France,FRA,31.66%
105,Marcos Giron,United States,USA,31.64%
106,Nick Kyrgios,Australia,AUS,31.55%
107,Philipp Kohlschreiber,Germany,GER,29.88%
108,Leonardo Mayer,Argentina,ARG,28.47%
109,Reilly Opelka,United States,USA,27.96%
110,James Duckworth,Australia,AUS,27.44%
111,John Isner,United States,USA,25.93%
