rank,name,country_name,country_id,value
1,Carlos Alcaraz Garfia,Spain,ESP,3.704
2,Diego Sebastian Schwartzman,Argentina,ARG,3.466
3,Pedro Martinez Portero,Spain,ESP,3.410
4,Rafael Nadal,Spain,ESP,3.339
5,Mikael Ymer,Sweden,SWE,3.326
6,Francisco Cerundolo,Argentina,ARG,3.322
7,Alex De Minaur,Australia,AUS,3.192
8,Jaume Munar,Spain,ESP,3.189
9,David Goffin,Belgium,BEL,3.085
10,Alejandro Davidovich Fokina,Spain,ESP,3.078
11,Roberto Bautista Agut,Spain,ESP,3.065
12,Sebastian Korda,United States,USA,3.064
13,Taylor Harry Fritz,United States,USA,3.055
14,Casper Ruud,Norway,NOR,3.040
15,Novak Djokovic,Serbia,SRB,3.010
16,Daniil Medvedev,Russian Federation,RUS,2.963
17,Cameron Norrie,United Kingdom,GBR,2.950
18,Sebastian Baez,Argentina,ARG,2.948
19,Jannik Sinner,Italy,ITA,2.943
20,Miomir Kecmanovic,Serbia,SRB,2.935
21,Joao Sousa,Portugal,POR,2.934
22,Federico Coria,Argentina,ARG,2.924
23,Pablo Carreno Busta,Spain,ESP,2.890
24,Aslan Karatsev,Russian Federation,RUS,2.885
25,Hugo Gaston,France,FRA,2.863
26,Alejandro Tabilo,Chile,CHI,2.845
27,Holger Vitus Nodskov Rune,Denmark,DEN,2.844
28,Richard Gasquet,France,FRA,2.824
29,Andrey Rublev,Russian Federation,RUS,2.810
30,Jenson Brooksby,United States,USA,2.809
31,Emil Ruusuvuori,Finland,FIN,2.803
32,Daniel Evans,United Kingdom,GBR,2.800
33,Christian Garin,Chile,CHI,2.781
34,Jeffrey John Wolf,United States,USA,2.768
35,Alexander Zverev,Germany,GER,2.763
36,Tommy Paul,United States,USA,2.748
37,Felix Auger Aliassime,Canada,CAN,2.731
38,Alex Molcan,Slovakia,SVK,2.719
39,Albert Ramos,Spain,ESP,2.697
40,Grigor Dimitrov,Bulgaria,BUL,2.684
41,Fabio Fognini,Italy,ITA,2.675
42,Lorenzo Musetti,Italy,ITA,2.646
43,Botic Van De Zandschulp,Netherlands,NED,2.645
44,Marin Cilic,Croatia,CRO,2.633
45,Jack Draper,United Kingdom,GBR,2.632
46,Mackenzie Mcdonald,United States,USA,2.574
47,Adrian Mannarino,France,FRA,2.567
48,Dusan Lajovic,Serbia,SRB,2.530
49,Soon Woo Kwon,"Korea, Republic of",KOR,2.517
50,Andy Murray,United Kingdom,GBR,2.506
51,Tallon Griekspoor,Netherlands,NED,2.500
52,Denis Shapovalov,Canada,CAN,2.489
53,Ilya Ivashka,Belarus,BLR,2.486
54,Frances Tiafoe,United States,USA,2.470
55,Benjamin Bonzi,France,FRA,2.468
56,Benoit Paire,France,FRA,2.462
57,Stefanos Tsitsipas,Greece,GRE,2.455
58,Matteo Berrettini,Italy,ITA,2.441
59,Yoshihito Nishioka,Japan,JPN,2.438
60,Lorenzo Sonego,Italy,ITA,2.427
61,Laslo Djere,Serbia,SRB,2.427
62,Marton Fucsovics,Hungary,HUN,2.364
63,Jiri Lehecka,Czech Republic,CZE,2.339
64,Alexei Popyrin,Australia,AUS,2.333
65,Nick Kyrgios,Australia,AUS,2.330
66,Hubert Hurkacz,Poland,POL,2.297
67,Borna Coric,Croatia,CRO,2.288
68,Karen Khachanov,Russian Federation,RUS,2.270
69,Ugo Humbert,France,FRA,2.260
70,Taro Daniel,Japan,JPN,2.217
71,Alexander Bublik,Kazakhstan,KAZ,2.184
72,Stan Wawrinka,Switzerland,SUI,2.173
73,Marcos Giron,United States,USA,2.160
74,Filip Krajinovic,Serbia,SRB,2.121
75,Thiago Monteiro,Brazil,BRA,2.043
76,Dominic Thiem,Austria,AUT,2.000
77,Nikoloz Basilashvili,Georgia,GEO,1.986
78,Brandon Nakashima,United States,USA,1.980
79,Thanasi Kokkinakis,Australia,AUS,1.970
80,Steve Johnson,United States,USA,1.935
81,Oscar Otte,Germany,GER,1.910
82,Arthur Rinderknech,France,FRA,1.871
83,Roberto Carballes Baena,Spain,ESP,1.870
84,Jordan Thompson,Australia,AUS,1.788
85,Reilly Opelka,United States,USA,1.734
86,Maxime Cressy,United States,USA,1.670
87,John Isner,United States,USA,1.132
