rank,name,country_name,country_id,value
1,Rafael Nadal,Spain,ESP,57.11%
2,Daniil Medvedev,Russian Federation,RUS,55.86%
3,Roberto Bautista Agut,Spain,ESP,55.80%
4,Novak Djokovic,Serbia,SRB,54.86%
5,Diego Sebastian Schwartzman,Argentina,ARG,54.10%
6,Stefanos Tsitsipas,Greece,GRE,53.00%
7,Kei Nishikori,Japan,JPN,52.89%
8,Casper Ruud,Norway,NOR,52.36%
9,Gael Monfils,France,FRA,52.34%
10,Nick Kyrgios,Australia,AUS,52.28%
11,Yoshihito Nishioka,Japan,JPN,52.28%
12,Matteo Berrettini,Italy,ITA,52.20%
13,Grigor Dimitrov,Bulgaria,BUL,52.16%
14,Andrey Rublev,Russian Federation,RUS,52.10%
15,Mikhail Kukushkin,Kazakhstan,KAZ,51.99%
16,Emil Ruusuvuori,Finland,FIN,51.98%
17,Karen Khachanov,Russian Federation,RUS,51.93%
18,Jack Sock,United States,USA,51.74%
19,Milos Raonic,Canada,CAN,51.59%
20,Fabio Fognini,Italy,ITA,51.53%
21,Norbert Gombos,Slovakia,SVK,51.42%
22,John Millman,Australia,AUS,51.28%
23,Denis Shapovalov,Canada,CAN,51.16%
24,Filip Krajinovic,Serbia,SRB,51.14%
25,Roger Federer,Switzerland,SUI,51.11%
26,Kyle Edmund,United Kingdom,GBR,51.09%
27,Laslo Djere,Serbia,SRB,51.04%
28,Alex De Minaur,Australia,AUS,50.87%
29,Dominic Thiem,Austria,AUT,50.76%
30,Alexander Zverev,Germany,GER,50.68%
31,Guido Pella,Argentina,ARG,50.64%
32,Marin Cilic,Croatia,CRO,50.63%
33,Pablo Andujar,Spain,ESP,50.46%
34,Marc Polmans,Australia,AUS,50.44%
35,Marton Fucsovics,Hungary,HUN,50.43%
36,Daniel Evans,United Kingdom,GBR,50.41%
37,Pablo Carreno Busta,Spain,ESP,50.40%
38,Stan Wawrinka,Switzerland,SUI,50.40%
39,Alexei Popyrin,Australia,AUS,50.39%
40,Andreas Seppi,Italy,ITA,50.37%
41,Jannik Sinner,Italy,ITA,50.33%
42,Soon Woo Kwon,"Korea, Republic of",KOR,50.31%
43,David Goffin,Belgium,BEL,50.31%
44,Juan Ignacio Londero,Argentina,ARG,50.28%
45,Ugo Humbert,France,FRA,50.22%
46,Borna Coric,Croatia,CRO,50.11%
47,Pedro Martinez Portero,Spain,ESP,50.00%
47,Ricardas Berankis,Lithuania,LTU,50.00%
47,Tommy Paul,United States,USA,50.00%
50,Dennis Novak,Austria,AUT,49.84%
51,Radu Albot,"Moldova, Republic of",MDA,49.83%
52,Attila Balazs,Hungary,HUN,49.76%
53,Hugo Gaston,France,FRA,49.68%
54,Andrej Martin,Slovakia,SVK,49.67%
55,Miomir Kecmanovic,Serbia,SRB,49.66%
56,Gilles Simon,France,FRA,49.65%
57,Albert Ramos,Spain,ESP,49.56%
58,Jan Lennard Struff,Germany,GER,49.52%
59,Thiago Monteiro,Brazil,BRA,49.49%
60,Vasek Pospisil,Canada,CAN,49.43%
61,Jiri Vesely,Czech Republic,CZE,49.40%
62,Cameron Norrie,United Kingdom,GBR,49.30%
63,Yannick Hanfmann,Germany,GER,49.17%
64,Christian Garin,Chile,CHI,49.12%
65,Pierre Hugues Herbert,France,FRA,49.11%
66,Taylor Harry Fritz,United States,USA,49.05%
67,Thiago Seyboth Wild,Brazil,BRA,49.04%
68,Alejandro Davidovich Fokina,Spain,ESP,49.00%
69,Adrian Mannarino,France,FRA,48.86%
70,Federico Coria,Argentina,ARG,48.81%
71,Salvatore Caruso,Italy,ITA,48.80%
72,Federico Delbonis,Argentina,ARG,48.76%
73,Egor Gerasimov,Belarus,BLR,48.65%
74,Dusan Lajovic,Serbia,SRB,48.65%
75,Marco Cecchinato,Italy,ITA,48.64%
76,Mikael Ymer,Sweden,SWE,48.38%
77,Tennys Sandgren,United States,USA,48.37%
78,Fernando Verdasco,Spain,ESP,48.37%
79,Felix Auger Aliassime,Canada,CAN,48.35%
80,Sebastian Korda,United States,USA,48.30%
81,Steve Johnson,United States,USA,48.25%
82,Jaume Munar,Spain,ESP,48.24%
83,Benoit Paire,France,FRA,48.18%
84,Frances Tiafoe,United States,USA,48.15%
85,Corentin Moutet,France,FRA,48.15%
86,Feliciano Lopez,Spain,ESP,48.14%
87,Jordan Thompson,Australia,AUS,48.09%
88,Leonardo Mayer,Argentina,ARG,47.82%
89,Dominik Koepfer,Germany,GER,47.78%
90,John Isner,United States,USA,47.69%
91,Andy Murray,United Kingdom,GBR,47.58%
92,Roberto Carballes Baena,Spain,ESP,47.57%
93,Hubert Hurkacz,Poland,POL,47.52%
94,Philipp Kohlschreiber,Germany,GER,47.33%
95,Richard Gasquet,France,FRA,47.31%
96,Mackenzie Mcdonald,United States,USA,47.25%
97,Gianluca Mager,Italy,ITA,47.24%
98,Nikoloz Basilashvili,Georgia,GEO,47.16%
99,Aljaz Bedene,Slovenia,SLO,46.86%
100,Sam Querrey,United States,USA,46.77%
101,Lloyd George Muirhead Harris,South Africa,RSA,46.32%
102,Stefano Travaglia,Italy,ITA,46.12%
103,Kevin Anderson,South Africa,RSA,46.09%
104,Alexander Bublik,Kazakhstan,KAZ,46.05%
105,Lorenzo Sonego,Italy,ITA,46.01%
106,Marcos Giron,United States,USA,45.81%
107,Pablo Cuevas,Uruguay,URU,45.19%
108,James Duckworth,Australia,AUS,44.46%
109,Reilly Opelka,United States,USA,44.38%
110,Damir Dzumhur,Bosnia and Herzegovina,BIH,44.18%
111,Gregoire Barrere,France,FRA,43.82%
112,Michael Mmoh,United States,USA,43.07%
