rank,name,country_name,country_id,value
1,Roger Federer,Switzerland,SUI,59.31%
2,Rafael Nadal,Spain,ESP,58.77%
3,Milos Raonic,Canada,CAN,57.65%
4,John Isner,United States,USA,57.13%
5,Novak Djokovic,Serbia,SRB,56.68%
6,Roberto Bautista Agut,Spain,ESP,55.78%
7,Philipp Kohlschreiber,Germany,GER,55.60%
8,Stan Wawrinka,Switzerland,SUI,55.43%
9,Alex De Minaur,Australia,AUS,55.41%
10,Reilly Opelka,United States,USA,55.36%
11,Dominic Thiem,Austria,AUT,55.27%
12,Miomir Kecmanovic,Serbia,SRB,54.72%
13,John Millman,Australia,AUS,54.65%
14,Daniil Medvedev,Russian Federation,RUS,54.36%
15,Nicolas Mahut,France,FRA,54.33%
16,Leonardo Mayer,Argentina,ARG,53.80%
17,Juan Ignacio Londero,Argentina,ARG,53.68%
18,Kei Nishikori,Japan,JPN,53.58%
19,Yoshihito Nishioka,Japan,JPN,53.51%
20,Jannik Sinner,Italy,ITA,53.48%
21,Maximilian Marterer,Germany,GER,53.33%
22,Marcos Giron,United States,USA,53.14%
23,David Ferrer,Spain,ESP,53.09%
24,Hyeon Chung,"Korea, Republic of",KOR,53.06%
25,Matteo Berrettini,Italy,ITA,53.04%
26,Pablo Carreno Busta,Spain,ESP,52.95%
27,Bradley Klahn,United States,USA,52.94%
28,Borna Coric,Croatia,CRO,52.94%
29,Albert Ramos,Spain,ESP,52.78%
30,Ivo Karlovic,Croatia,CRO,52.58%
31,Stefanos Tsitsipas,Greece,GRE,52.53%
32,Lorenzo Sonego,Italy,ITA,52.50%
33,Kevin Anderson,South Africa,RSA,52.44%
34,Feliciano Lopez,Spain,ESP,52.40%
35,Guido Pella,Argentina,ARG,52.40%
36,Radu Albot,"Moldova, Republic of",MDA,52.36%
37,Mikhail Kukushkin,Kazakhstan,KAZ,52.23%
38,Hubert Hurkacz,Poland,POL,52.09%
39,Thomas Fabbiano,Italy,ITA,51.99%
40,Kamil Majchrzak,Poland,POL,51.98%
41,Egor Gerasimov,Belarus,BLR,51.97%
42,Kyle Edmund,United Kingdom,GBR,51.91%
43,Karen Khachanov,Russian Federation,RUS,51.86%
44,Filip Krajinovic,Serbia,SRB,51.82%
45,Nicolas Jarry,Chile,CHI,51.79%
46,Lucas Pouille,France,FRA,51.69%
47,Frances Tiafoe,United States,USA,51.54%
48,Rudolf Molleker,Germany,GER,51.50%
49,Yannick Maden,Germany,GER,51.39%
50,Steve Johnson,United States,USA,51.39%
51,Jan Lennard Struff,Germany,GER,51.38%
52,Adrian Mannarino,France,FRA,51.35%
